Date,City,Location_Type,Society_Project,Block_Sector,Size,Price_PKR,Price_Per_Marla_PKR,Development_Status,Year,Month,Days_Since_Start
3/1/2021,Islamabad,Residential,Faisal Town,Block B,4 Marla,3600000,900000,Fully Developed,2021,3,411
3/1/2021,Islamabad,Residential,Faisal Town,Block B,6 Marla,5400000,900000,Fully Developed,2021,3,411
3/1/2021,Islamabad,Residential,Faisal Town,Block B,7 Marla,6300000,900000,Fully Developed,2021,3,411
3/1/2021,Islamabad,Residential,Faisal Town,Block B,8 Marla,7200000,900000,Fully Developed,2021,3,411
3/1/2021,Islamabad,Residential,Faisal Town,Block B,9 Marla,8100000,900000,Fully Developed,2021,3,411
3/1/2021,Islamabad,Residential,Faisal Town,Block B,11 Marla,9900000,900000,Fully Developed,2021,3,411
3/1/2021,Islamabad,Residential,Faisal Town,Block B,12 Marla,10800000,900000,Fully Developed,2021,3,411
3/1/2021,Islamabad,Residential,Faisal Town,Block B,13 Marla,11700000,900000,Fully Developed,2021,3,411
3/1/2021,Islamabad,Residential,Faisal Town,Block B,14 Marla,12600000,900000,Fully Developed,2021,3,411
3/1/2021,Islamabad,Residential,Faisal Town,Block B,15 Marla,13500000,900000,Fully Developed,2021,3,411
3/1/2021,Islamabad,Residential,Faisal Town,Block B,16 Marla,14400000,900000,Fully Developed,2021,3,411
3/1/2021,Islamabad,Residential,Faisal Town,Block B,17 Marla,15300000,900000,Fully Developed,2021,3,411
3/1/2021,Islamabad,Residential,Faisal Town,Block B,18 Marla,16200000,900000,Fully Developed,2021,3,411
3/1/2021,Islamabad,Residential,Faisal Town,Block B,19 Marla,17100000,900000,Fully Developed,2021,3,411
3/1/2021,Islamabad,Residential,Faisal Town,Block B,20 Marla,18000000,900000,Fully Developed,2021,3,411
4/10/2021,Rawalpindi,Residential,Grace Valley,Block A,4 Marla,1080000,270000,Under Development,2021,4,451
4/10/2021,Rawalpindi,Residential,Grace Valley,Block A,6 Marla,1620000,270000,Under Development,2021,4,451
4/10/2021,Rawalpindi,Residential,Grace Valley,Block A,7 Marla,1890000,270000,Under Development,2021,4,451
4/10/2021,Rawalpindi,Residential,Grace Valley,Block A,8 Marla,2160000,270000,Under Development,2021,4,451
4/10/2021,Rawalpindi,Residential,Grace Valley,Block A,9 Marla,2430000,270000,Under Development,2021,4,451
4/10/2021,Rawalpindi,Residential,Grace Valley,Block A,11 Marla,2970000,270000,Under Development,2021,4,451
4/10/2021,Rawalpindi,Residential,Grace Valley,Block A,12 Marla,3240000,270000,Under Development,2021,4,451
4/10/2021,Rawalpindi,Residential,Grace Valley,Block A,13 Marla,3510000,270000,Under Development,2021,4,451
4/10/2021,Rawalpindi,Residential,Grace Valley,Block A,14 Marla,3780000,270000,Under Development,2021,4,451
4/10/2021,Rawalpindi,Residential,Grace Valley,Block A,15 Marla,4050000,270000,Under Development,2021,4,451
4/10/2021,Rawalpindi,Residential,Grace Valley,Block A,16 Marla,4320000,270000,Under Development,2021,4,451
4/10/2021,Rawalpindi,Residential,Grace Valley,Block A,17 Marla,4590000,270000,Under Development,2021,4,451
4/10/2021,Rawalpindi,Residential,Grace Valley,Block A,18 Marla,4860000,270000,Under Development,2021,4,451
4/10/2021,Rawalpindi,Residential,Grace Valley,Block A,19 Marla,5130000,270000,Under Development,2021,4,451
4/10/2021,Rawalpindi,Residential,Grace Valley,Block A,20 Marla,5400000,270000,Under Development,2021,4,451
4/15/2021,Islamabad,Residential,Faisal Town,Block A,4 Marla,3520000,880000,Fully Developed,2021,4,456
4/15/2021,Islamabad,Residential,Faisal Town,Block A,6 Marla,5280000,880000,Fully Developed,2021,4,456
4/15/2021,Islamabad,Residential,Faisal Town,Block A,7 Marla,6160000,880000,Fully Developed,2021,4,456
4/15/2021,Islamabad,Residential,Faisal Town,Block A,8 Marla,7040000,880000,Fully Developed,2021,4,456
4/15/2021,Islamabad,Residential,Faisal Town,Block A,9 Marla,7920000,880000,Fully Developed,2021,4,456
4/15/2021,Islamabad,Residential,Faisal Town,Block A,11 Marla,9680000,880000,Fully Developed,2021,4,456
4/15/2021,Islamabad,Residential,Faisal Town,Block A,12 Marla,10560000,880000,Fully Developed,2021,4,456
4/15/2021,Islamabad,Residential,Faisal Town,Block A,13 Marla,11440000,880000,Fully Developed,2021,4,456
4/15/2021,Islamabad,Residential,Faisal Town,Block A,14 Marla,12320000,880000,Fully Developed,2021,4,456
4/15/2021,Islamabad,Residential,Faisal Town,Block A,15 Marla,13200000,880000,Fully Developed,2021,4,456
4/15/2021,Islamabad,Residential,Faisal Town,Block A,16 Marla,14080000,880000,Fully Developed,2021,4,456
4/15/2021,Islamabad,Residential,Faisal Town,Block A,17 Marla,14960000,880000,Fully Developed,2021,4,456
4/15/2021,Islamabad,Residential,Faisal Town,Block A,18 Marla,15840000,880000,Fully Developed,2021,4,456
4/15/2021,Islamabad,Residential,Faisal Town,Block A,19 Marla,16720000,880000,Fully Developed,2021,4,456
4/15/2021,Islamabad,Residential,Faisal Town,Block A,20 Marla,17600000,880000,Fully Developed,2021,4,456
4/20/2021,Rawalpindi,Residential,Grace Valley,Block B,4 Marla,960000,240000,Under Development,2021,4,461
4/20/2021,Rawalpindi,Residential,Grace Valley,Block B,6 Marla,1440000,240000,Under Development,2021,4,461
4/20/2021,Rawalpindi,Residential,Grace Valley,Block B,7 Marla,1680000,240000,Under Development,2021,4,461
4/20/2021,Rawalpindi,Residential,Grace Valley,Block B,8 Marla,1920000,240000,Under Development,2021,4,461
4/20/2021,Rawalpindi,Residential,Grace Valley,Block B,9 Marla,2160000,240000,Under Development,2021,4,461
4/20/2021,Rawalpindi,Residential,Grace Valley,Block B,11 Marla,2640000,240000,Under Development,2021,4,461
4/20/2021,Rawalpindi,Residential,Grace Valley,Block B,12 Marla,2880000,240000,Under Development,2021,4,461
4/20/2021,Rawalpindi,Residential,Grace Valley,Block B,13 Marla,3120000,240000,Under Development,2021,4,461
4/20/2021,Rawalpindi,Residential,Grace Valley,Block B,14 Marla,3360000,240000,Under Development,2021,4,461
4/20/2021,Rawalpindi,Residential,Grace Valley,Block B,15 Marla,3600000,240000,Under Development,2021,4,461
4/20/2021,Rawalpindi,Residential,Grace Valley,Block B,16 Marla,3840000,240000,Under Development,2021,4,461
4/20/2021,Rawalpindi,Residential,Grace Valley,Block B,17 Marla,4080000,240000,Under Development,2021,4,461
4/20/2021,Rawalpindi,Residential,Grace Valley,Block B,18 Marla,4320000,240000,Under Development,2021,4,461
4/20/2021,Rawalpindi,Residential,Grace Valley,Block B,19 Marla,4560000,240000,Under Development,2021,4,461
4/20/2021,Rawalpindi,Residential,Grace Valley,Block B,20 Marla,4800000,240000,Under Development,2021,4,461
5/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,4 Marla,1840000,460000,Under Development,2021,5,473
5/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,6 Marla,2760000,460000,Under Development,2021,5,473
5/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,7 Marla,3220000,460000,Under Development,2021,5,473
5/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,8 Marla,3680000,460000,Under Development,2021,5,473
5/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,9 Marla,4140000,460000,Under Development,2021,5,473
5/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,11 Marla,5060000,460000,Under Development,2021,5,473
5/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,12 Marla,5520000,460000,Under Development,2021,5,473
5/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,13 Marla,5980000,460000,Under Development,2021,5,473
5/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,14 Marla,6440000,460000,Under Development,2021,5,473
5/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,15 Marla,6900000,460000,Under Development,2021,5,473
5/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,16 Marla,7360000,460000,Under Development,2021,5,473
5/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,17 Marla,7820000,460000,Under Development,2021,5,473
5/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,18 Marla,8280000,460000,Under Development,2021,5,473
5/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,19 Marla,8740000,460000,Under Development,2021,5,473
5/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,20 Marla,9200000,460000,Under Development,2021,5,473
5/15/2021,Rawalpindi,Residential,Faisal Hills,Block B,4 Marla,1480000,370000,Under Development,2021,5,487
5/15/2021,Rawalpindi,Residential,Faisal Hills,Block B,6 Marla,2220000,370000,Under Development,2021,5,487
5/15/2021,Rawalpindi,Residential,Faisal Hills,Block B,7 Marla,2590000,370000,Under Development,2021,5,487
5/15/2021,Rawalpindi,Residential,Faisal Hills,Block B,8 Marla,2960000,370000,Under Development,2021,5,487
5/15/2021,Rawalpindi,Residential,Faisal Hills,Block B,9 Marla,3330000,370000,Under Development,2021,5,487
5/15/2021,Rawalpindi,Residential,Faisal Hills,Block B,11 Marla,4070000,370000,Under Development,2021,5,487
5/15/2021,Rawalpindi,Residential,Faisal Hills,Block B,12 Marla,4440000,370000,Under Development,2021,5,487
5/15/2021,Rawalpindi,Residential,Faisal Hills,Block B,13 Marla,4810000,370000,Under Development,2021,5,487
5/15/2021,Rawalpindi,Residential,Faisal Hills,Block B,14 Marla,5180000,370000,Under Development,2021,5,487
5/15/2021,Rawalpindi,Residential,Faisal Hills,Block B,15 Marla,5550000,370000,Under Development,2021,5,487
5/15/2021,Rawalpindi,Residential,Faisal Hills,Block B,16 Marla,5920000,370000,Under Development,2021,5,487
5/15/2021,Rawalpindi,Residential,Faisal Hills,Block B,17 Marla,6290000,370000,Under Development,2021,5,487
5/15/2021,Rawalpindi,Residential,Faisal Hills,Block B,18 Marla,6660000,370000,Under Development,2021,5,487
5/15/2021,Rawalpindi,Residential,Faisal Hills,Block B,19 Marla,7030000,370000,Under Development,2021,5,487
5/15/2021,Rawalpindi,Residential,Faisal Hills,Block B,20 Marla,7400000,370000,Under Development,2021,5,487
6/1/2021,Islamabad,Residential,Faisal Town,Block B,4 Marla,4080000,1020000,Fully Developed,2021,6,503
6/1/2021,Islamabad,Residential,Faisal Town,Block B,6 Marla,6120000,1020000,Fully Developed,2021,6,503
6/1/2021,Islamabad,Residential,Faisal Town,Block B,7 Marla,7140000,1020000,Fully Developed,2021,6,503
6/1/2021,Islamabad,Residential,Faisal Town,Block B,8 Marla,8160000,1020000,Fully Developed,2021,6,503
6/1/2021,Islamabad,Residential,Faisal Town,Block B,9 Marla,9180000,1020000,Fully Developed,2021,6,503
6/1/2021,Islamabad,Residential,Faisal Town,Block B,11 Marla,11220000,1020000,Fully Developed,2021,6,503
6/1/2021,Islamabad,Residential,Faisal Town,Block B,12 Marla,12240000,1020000,Fully Developed,2021,6,503
6/1/2021,Islamabad,Residential,Faisal Town,Block B,13 Marla,13260000,1020000,Fully Developed,2021,6,503
6/1/2021,Islamabad,Residential,Faisal Town,Block B,14 Marla,14280000,1020000,Fully Developed,2021,6,503
6/1/2021,Islamabad,Residential,Faisal Town,Block B,15 Marla,15300000,1020000,Fully Developed,2021,6,503
6/1/2021,Islamabad,Residential,Faisal Town,Block B,16 Marla,16320000,1020000,Fully Developed,2021,6,503
6/1/2021,Islamabad,Residential,Faisal Town,Block B,17 Marla,17340000,1020000,Fully Developed,2021,6,503
6/1/2021,Islamabad,Residential,Faisal Town,Block B,18 Marla,18360000,1020000,Fully Developed,2021,6,503
6/1/2021,Islamabad,Residential,Faisal Town,Block B,19 Marla,19380000,1020000,Fully Developed,2021,6,503
6/1/2021,Islamabad,Residential,Faisal Town,Block B,20 Marla,20400000,1020000,Fully Developed,2021,6,503
7/10/2021,Rawalpindi,Residential,Grace Valley,Block A,4 Marla,1160000,290000,Under Development,2021,7,542
7/10/2021,Rawalpindi,Residential,Grace Valley,Block A,6 Marla,1740000,290000,Under Development,2021,7,542
7/10/2021,Rawalpindi,Residential,Grace Valley,Block A,7 Marla,2030000,290000,Under Development,2021,7,542
7/10/2021,Rawalpindi,Residential,Grace Valley,Block A,8 Marla,2320000,290000,Under Development,2021,7,542
7/10/2021,Rawalpindi,Residential,Grace Valley,Block A,9 Marla,2610000,290000,Under Development,2021,7,542
7/10/2021,Rawalpindi,Residential,Grace Valley,Block A,11 Marla,3190000,290000,Under Development,2021,7,542
7/10/2021,Rawalpindi,Residential,Grace Valley,Block A,12 Marla,3480000,290000,Under Development,2021,7,542
7/10/2021,Rawalpindi,Residential,Grace Valley,Block A,13 Marla,3770000,290000,Under Development,2021,7,542
7/10/2021,Rawalpindi,Residential,Grace Valley,Block A,14 Marla,4060000,290000,Under Development,2021,7,542
7/10/2021,Rawalpindi,Residential,Grace Valley,Block A,15 Marla,4350000,290000,Under Development,2021,7,542
7/10/2021,Rawalpindi,Residential,Grace Valley,Block A,16 Marla,4640000,290000,Under Development,2021,7,542
7/10/2021,Rawalpindi,Residential,Grace Valley,Block A,17 Marla,4930000,290000,Under Development,2021,7,542
7/10/2021,Rawalpindi,Residential,Grace Valley,Block A,18 Marla,5220000,290000,Under Development,2021,7,542
7/10/2021,Rawalpindi,Residential,Grace Valley,Block A,19 Marla,5510000,290000,Under Development,2021,7,542
7/10/2021,Rawalpindi,Residential,Grace Valley,Block A,20 Marla,5800000,290000,Under Development,2021,7,542
7/15/2021,Islamabad,Residential,Faisal Town,Block A,4 Marla,3920000,980000,Fully Developed,2021,7,547
7/15/2021,Islamabad,Residential,Faisal Town,Block A,6 Marla,5880000,980000,Fully Developed,2021,7,547
7/15/2021,Islamabad,Residential,Faisal Town,Block A,7 Marla,6860000,980000,Fully Developed,2021,7,547
7/15/2021,Islamabad,Residential,Faisal Town,Block A,8 Marla,7840000,980000,Fully Developed,2021,7,547
7/15/2021,Islamabad,Residential,Faisal Town,Block A,9 Marla,8820000,980000,Fully Developed,2021,7,547
7/15/2021,Islamabad,Residential,Faisal Town,Block A,11 Marla,10780000,980000,Fully Developed,2021,7,547
7/15/2021,Islamabad,Residential,Faisal Town,Block A,12 Marla,11760000,980000,Fully Developed,2021,7,547
7/15/2021,Islamabad,Residential,Faisal Town,Block A,13 Marla,12740000,980000,Fully Developed,2021,7,547
7/15/2021,Islamabad,Residential,Faisal Town,Block A,14 Marla,13720000,980000,Fully Developed,2021,7,547
7/15/2021,Islamabad,Residential,Faisal Town,Block A,15 Marla,14700000,980000,Fully Developed,2021,7,547
7/15/2021,Islamabad,Residential,Faisal Town,Block A,16 Marla,15680000,980000,Fully Developed,2021,7,547
7/15/2021,Islamabad,Residential,Faisal Town,Block A,17 Marla,16660000,980000,Fully Developed,2021,7,547
7/15/2021,Islamabad,Residential,Faisal Town,Block A,18 Marla,17640000,980000,Fully Developed,2021,7,547
7/15/2021,Islamabad,Residential,Faisal Town,Block A,19 Marla,18620000,980000,Fully Developed,2021,7,547
7/15/2021,Islamabad,Residential,Faisal Town,Block A,20 Marla,19600000,980000,Fully Developed,2021,7,547
7/20/2021,Rawalpindi,Residential,Grace Valley,Block B,4 Marla,1040000,260000,Under Development,2021,7,552
7/20/2021,Rawalpindi,Residential,Grace Valley,Block B,6 Marla,1560000,260000,Under Development,2021,7,552
7/20/2021,Rawalpindi,Residential,Grace Valley,Block B,7 Marla,1820000,260000,Under Development,2021,7,552
7/20/2021,Rawalpindi,Residential,Grace Valley,Block B,8 Marla,2080000,260000,Under Development,2021,7,552
7/20/2021,Rawalpindi,Residential,Grace Valley,Block B,9 Marla,2340000,260000,Under Development,2021,7,552
7/20/2021,Rawalpindi,Residential,Grace Valley,Block B,11 Marla,2860000,260000,Under Development,2021,7,552
7/20/2021,Rawalpindi,Residential,Grace Valley,Block B,12 Marla,3120000,260000,Under Development,2021,7,552
7/20/2021,Rawalpindi,Residential,Grace Valley,Block B,13 Marla,3380000,260000,Under Development,2021,7,552
7/20/2021,Rawalpindi,Residential,Grace Valley,Block B,14 Marla,3640000,260000,Under Development,2021,7,552
7/20/2021,Rawalpindi,Residential,Grace Valley,Block B,15 Marla,3900000,260000,Under Development,2021,7,552
7/20/2021,Rawalpindi,Residential,Grace Valley,Block B,16 Marla,4160000,260000,Under Development,2021,7,552
7/20/2021,Rawalpindi,Residential,Grace Valley,Block B,17 Marla,4420000,260000,Under Development,2021,7,552
7/20/2021,Rawalpindi,Residential,Grace Valley,Block B,18 Marla,4680000,260000,Under Development,2021,7,552
7/20/2021,Rawalpindi,Residential,Grace Valley,Block B,19 Marla,4940000,260000,Under Development,2021,7,552
7/20/2021,Rawalpindi,Residential,Grace Valley,Block B,20 Marla,5200000,260000,Under Development,2021,7,552
8/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,4 Marla,2000000,500000,Under Development,2021,8,565
8/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,6 Marla,3000000,500000,Under Development,2021,8,565
8/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,7 Marla,3500000,500000,Under Development,2021,8,565
8/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,8 Marla,4000000,500000,Under Development,2021,8,565
8/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,9 Marla,4500000,500000,Under Development,2021,8,565
8/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,11 Marla,5500000,500000,Under Development,2021,8,565
8/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,12 Marla,6000000,500000,Under Development,2021,8,565
8/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,13 Marla,6500000,500000,Under Development,2021,8,565
8/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,14 Marla,7000000,500000,Under Development,2021,8,565
8/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,15 Marla,7500000,500000,Under Development,2021,8,565
8/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,16 Marla,8000000,500000,Under Development,2021,8,565
8/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,17 Marla,8500000,500000,Under Development,2021,8,565
8/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,18 Marla,9000000,500000,Under Development,2021,8,565
8/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,19 Marla,9500000,500000,Under Development,2021,8,565
8/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,20 Marla,10000000,500000,Under Development,2021,8,565
8/15/2021,Rawalpindi,Residential,Faisal Hills,Block B,4 Marla,1600000,400000,Under Development,2021,8,579
8/15/2021,Rawalpindi,Residential,Faisal Hills,Block B,6 Marla,2400000,400000,Under Development,2021,8,579
8/15/2021,Rawalpindi,Residential,Faisal Hills,Block B,7 Marla,2800000,400000,Under Development,2021,8,579
8/15/2021,Rawalpindi,Residential,Faisal Hills,Block B,8 Marla,3200000,400000,Under Development,2021,8,579
8/15/2021,Rawalpindi,Residential,Faisal Hills,Block B,9 Marla,3600000,400000,Under Development,2021,8,579
8/15/2021,Rawalpindi,Residential,Faisal Hills,Block B,11 Marla,4400000,400000,Under Development,2021,8,579
8/15/2021,Rawalpindi,Residential,Faisal Hills,Block B,12 Marla,4800000,400000,Under Development,2021,8,579
8/15/2021,Rawalpindi,Residential,Faisal Hills,Block B,13 Marla,5200000,400000,Under Development,2021,8,579
8/15/2021,Rawalpindi,Residential,Faisal Hills,Block B,14 Marla,5600000,400000,Under Development,2021,8,579
8/15/2021,Rawalpindi,Residential,Faisal Hills,Block B,15 Marla,6000000,400000,Under Development,2021,8,579
8/15/2021,Rawalpindi,Residential,Faisal Hills,Block B,16 Marla,6400000,400000,Under Development,2021,8,579
8/15/2021,Rawalpindi,Residential,Faisal Hills,Block B,17 Marla,6800000,400000,Under Development,2021,8,579
8/15/2021,Rawalpindi,Residential,Faisal Hills,Block B,18 Marla,7200000,400000,Under Development,2021,8,579
8/15/2021,Rawalpindi,Residential,Faisal Hills,Block B,19 Marla,7600000,400000,Under Development,2021,8,579
8/15/2021,Rawalpindi,Residential,Faisal Hills,Block B,20 Marla,8000000,400000,Under Development,2021,8,579
9/1/2021,Islamabad,Residential,Faisal Town,Block B,4 Marla,4560000,1140000,Fully Developed,2021,9,595
9/1/2021,Islamabad,Residential,Faisal Town,Block B,6 Marla,6840000,1140000,Fully Developed,2021,9,595
9/1/2021,Islamabad,Residential,Faisal Town,Block B,7 Marla,7980000,1140000,Fully Developed,2021,9,595
9/1/2021,Islamabad,Residential,Faisal Town,Block B,8 Marla,9120000,1140000,Fully Developed,2021,9,595
9/1/2021,Islamabad,Residential,Faisal Town,Block B,9 Marla,10260000,1140000,Fully Developed,2021,9,595
9/1/2021,Islamabad,Residential,Faisal Town,Block B,11 Marla,12540000,1140000,Fully Developed,2021,9,595
9/1/2021,Islamabad,Residential,Faisal Town,Block B,12 Marla,13680000,1140000,Fully Developed,2021,9,595
9/1/2021,Islamabad,Residential,Faisal Town,Block B,13 Marla,14820000,1140000,Fully Developed,2021,9,595
9/1/2021,Islamabad,Residential,Faisal Town,Block B,14 Marla,15960000,1140000,Fully Developed,2021,9,595
9/1/2021,Islamabad,Residential,Faisal Town,Block B,15 Marla,17100000,1140000,Fully Developed,2021,9,595
9/1/2021,Islamabad,Residential,Faisal Town,Block B,16 Marla,18240000,1140000,Fully Developed,2021,9,595
9/1/2021,Islamabad,Residential,Faisal Town,Block B,17 Marla,19380000,1140000,Fully Developed,2021,9,595
9/1/2021,Islamabad,Residential,Faisal Town,Block B,18 Marla,20520000,1140000,Fully Developed,2021,9,595
9/1/2021,Islamabad,Residential,Faisal Town,Block B,19 Marla,21660000,1140000,Fully Developed,2021,9,595
9/1/2021,Islamabad,Residential,Faisal Town,Block B,20 Marla,22800000,1140000,Fully Developed,2021,9,595
10/10/2021,Rawalpindi,Residential,Grace Valley,Block A,4 Marla,1240000,310000,Under Development,2021,10,633
10/10/2021,Rawalpindi,Residential,Grace Valley,Block A,6 Marla,1860000,310000,Under Development,2021,10,633
10/10/2021,Rawalpindi,Residential,Grace Valley,Block A,7 Marla,2170000,310000,Under Development,2021,10,633
10/10/2021,Rawalpindi,Residential,Grace Valley,Block A,8 Marla,2480000,310000,Under Development,2021,10,633
10/10/2021,Rawalpindi,Residential,Grace Valley,Block A,9 Marla,2790000,310000,Under Development,2021,10,633
10/10/2021,Rawalpindi,Residential,Grace Valley,Block A,11 Marla,3410000,310000,Under Development,2021,10,633
10/10/2021,Rawalpindi,Residential,Grace Valley,Block A,12 Marla,3720000,310000,Under Development,2021,10,633
10/10/2021,Rawalpindi,Residential,Grace Valley,Block A,13 Marla,4030000,310000,Under Development,2021,10,633
10/10/2021,Rawalpindi,Residential,Grace Valley,Block A,14 Marla,4340000,310000,Under Development,2021,10,633
10/10/2021,Rawalpindi,Residential,Grace Valley,Block A,15 Marla,4650000,310000,Under Development,2021,10,633
10/10/2021,Rawalpindi,Residential,Grace Valley,Block A,16 Marla,4960000,310000,Under Development,2021,10,633
10/10/2021,Rawalpindi,Residential,Grace Valley,Block A,17 Marla,5270000,310000,Under Development,2021,10,633
10/10/2021,Rawalpindi,Residential,Grace Valley,Block A,18 Marla,5580000,310000,Under Development,2021,10,633
10/10/2021,Rawalpindi,Residential,Grace Valley,Block A,19 Marla,5890000,310000,Under Development,2021,10,633
10/10/2021,Rawalpindi,Residential,Grace Valley,Block A,20 Marla,6200000,310000,Under Development,2021,10,633
10/15/2021,Islamabad,Residential,Faisal Town,Block A,4 Marla,4320000,1080000,Fully Developed,2021,10,638
10/15/2021,Islamabad,Residential,Faisal Town,Block A,6 Marla,6480000,1080000,Fully Developed,2021,10,638
10/15/2021,Islamabad,Residential,Faisal Town,Block A,7 Marla,7560000,1080000,Fully Developed,2021,10,638
10/15/2021,Islamabad,Residential,Faisal Town,Block A,8 Marla,8640000,1080000,Fully Developed,2021,10,638
10/15/2021,Islamabad,Residential,Faisal Town,Block A,9 Marla,9720000,1080000,Fully Developed,2021,10,638
10/15/2021,Islamabad,Residential,Faisal Town,Block A,11 Marla,11880000,1080000,Fully Developed,2021,10,638
10/15/2021,Islamabad,Residential,Faisal Town,Block A,12 Marla,12960000,1080000,Fully Developed,2021,10,638
10/15/2021,Islamabad,Residential,Faisal Town,Block A,13 Marla,14040000,1080000,Fully Developed,2021,10,638
10/15/2021,Islamabad,Residential,Faisal Town,Block A,14 Marla,15120000,1080000,Fully Developed,2021,10,638
10/15/2021,Islamabad,Residential,Faisal Town,Block A,15 Marla,16200000,1080000,Fully Developed,2021,10,638
10/15/2021,Islamabad,Residential,Faisal Town,Block A,16 Marla,17280000,1080000,Fully Developed,2021,10,638
10/15/2021,Islamabad,Residential,Faisal Town,Block A,17 Marla,18360000,1080000,Fully Developed,2021,10,638
10/15/2021,Islamabad,Residential,Faisal Town,Block A,18 Marla,19440000,1080000,Fully Developed,2021,10,638
10/15/2021,Islamabad,Residential,Faisal Town,Block A,19 Marla,20520000,1080000,Fully Developed,2021,10,638
10/15/2021,Islamabad,Residential,Faisal Town,Block A,20 Marla,21600000,1080000,Fully Developed,2021,10,638
10/20/2021,Rawalpindi,Residential,Grace Valley,Block B,4 Marla,1120000,280000,Under Development,2021,10,643
10/20/2021,Rawalpindi,Residential,Grace Valley,Block B,6 Marla,1680000,280000,Under Development,2021,10,643
10/20/2021,Rawalpindi,Residential,Grace Valley,Block B,7 Marla,1960000,280000,Under Development,2021,10,643
10/20/2021,Rawalpindi,Residential,Grace Valley,Block B,8 Marla,2240000,280000,Under Development,2021,10,643
10/20/2021,Rawalpindi,Residential,Grace Valley,Block B,9 Marla,2520000,280000,Under Development,2021,10,643
10/20/2021,Rawalpindi,Residential,Grace Valley,Block B,11 Marla,3080000,280000,Under Development,2021,10,643
10/20/2021,Rawalpindi,Residential,Grace Valley,Block B,12 Marla,3360000,280000,Under Development,2021,10,643
10/20/2021,Rawalpindi,Residential,Grace Valley,Block B,13 Marla,3640000,280000,Under Development,2021,10,643
10/20/2021,Rawalpindi,Residential,Grace Valley,Block B,14 Marla,3920000,280000,Under Development,2021,10,643
10/20/2021,Rawalpindi,Residential,Grace Valley,Block B,15 Marla,4200000,280000,Under Development,2021,10,643
10/20/2021,Rawalpindi,Residential,Grace Valley,Block B,16 Marla,4480000,280000,Under Development,2021,10,643
10/20/2021,Rawalpindi,Residential,Grace Valley,Block B,17 Marla,4760000,280000,Under Development,2021,10,643
10/20/2021,Rawalpindi,Residential,Grace Valley,Block B,18 Marla,5040000,280000,Under Development,2021,10,643
10/20/2021,Rawalpindi,Residential,Grace Valley,Block B,19 Marla,5320000,280000,Under Development,2021,10,643
10/20/2021,Rawalpindi,Residential,Grace Valley,Block B,20 Marla,5600000,280000,Under Development,2021,10,643
11/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,4 Marla,2120000,530000,Under Development,2021,11,656
11/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,6 Marla,3180000,530000,Under Development,2021,11,656
11/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,7 Marla,3710000,530000,Under Development,2021,11,656
11/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,8 Marla,4240000,530000,Under Development,2021,11,656
11/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,9 Marla,4770000,530000,Under Development,2021,11,656
11/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,11 Marla,5830000,530000,Under Development,2021,11,656
11/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,12 Marla,6360000,530000,Under Development,2021,11,656
11/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,13 Marla,6890000,530000,Under Development,2021,11,656
11/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,14 Marla,7420000,530000,Under Development,2021,11,656
11/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,15 Marla,7950000,530000,Under Development,2021,11,656
11/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,16 Marla,8480000,530000,Under Development,2021,11,656
